assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_000018445.1	PRJNA224116	SAMN02603140	na	na	405416	470	Acinetobacter baumannii ACICU	strain=ACICU	na	latest	Complete Genome	Major	Full	2008-04-15	ASM1844v1	CNR - National Research Council	GCA_000018445.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/445/GCF_000018445.1_ASM1844v1/	na	na	na	haploid	bacteria	3996761	3996761	39.000000	3	3	3	NCBI RefSeq	GCF_000018445.1-RS_2026_01_21	2026-01-21	3838	3603	86	18411315
GCF_000021245.2	PRJNA224116	SAMN02603051	na	na	480119	470	Acinetobacter baumannii AB0057	strain=AB0057	na	latest	Complete Genome	Major	Full	2017-06-27	ASM2124v2	Case Western Reserve University	GCA_000021245.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/245/GCF_000021245.2_ASM2124v2/	na	na	na	haploid	bacteria	4063879	4063879	39.000000	2	2	2	NCBI RefSeq	GCF_000021245.2-RS_2026_02_24	2026-02-24	3928	3763	93	18931120
GCF_000069245.1	PRJNA224116	SAMEA3138279	na	na	509173	470	Acinetobacter baumannii AYE	strain=AYE	na	latest	Complete Genome	Major	Full	2008-02-29	ASM6924v1	Genoscope	GCA_000069245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/069/245/GCF_000069245.1_ASM6924v1/	na	na	na	haploid	bacteria	4048735	4048735	39.500000	5	5	5	NCBI RefSeq	GCF_000069245.1-RS_2025_07_15	2025-07-15	3902	3696	94	18350144
GCF_000186665.3	PRJNA224116	SAMN02603576	na	na	945556	470	Acinetobacter baumannii D1279779	strain=D1279779	na	latest	Complete Genome	Major	Full	2014-09-30	ASM18666v4	Macquarie University	GCA_000186665.4	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/665/GCF_000186665.3_ASM18666v4/	na	na	na	haploid	bacteria	3711700	3711700	39.000000	2	2	2	NCBI RefSeq	GCF_000186665.3-RS_2025_04_24	2025-04-24	3577	3373	87	22092679;23527001;25883135
GCF_000187205.2	PRJNA224116	SAMN02603104	na	na	889738	470	Acinetobacter baumannii MDR-TJ	strain=MDR-TJ	na	latest	Complete Genome	Major	Full	2013-03-11	ASM18720v4	Centre of Bioinformatics, Tianjin University, Tianjin 300072, China	GCA_000187205.4	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/187/205/GCF_000187205.2_ASM18720v4/	na	na	na	haploid	bacteria	4153407	4153407	39.000000	3	3	3	NCBI RefSeq	GCF_000187205.2-RS_2026_01_21	2026-01-21	4031	3834	97	21398552;22952140
GCF_000188215.1	PRJNA224116	SAMN02603494	na	na	696749	470	Acinetobacter baumannii 1656-2	strain=1656-2	na	latest	Complete Genome	Major	Full	2011-02-08	ASM18821v1	Kyungpook National University	GCA_000188215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/188/215/GCF_000188215.1_ASM18821v1/	na	na	na	haploid	bacteria	4023106	4023106	39.000000	3	3	3	NCBI RefSeq	GCF_000188215.1-RS_2026_01_21	2026-01-21	3907	3709	94	22038960
GCF_000226275.2	PRJNA224116	SAMN02603878	na	na	497978	470	Acinetobacter baumannii MDR-ZJ06	strain=MDR-ZJ06	na	latest	Complete Genome	Major	Full	2018-10-16	ASM22627v2	State Key Laboratory of Diagnosis and Treatment for Infectious Disease, the First Affiliated Hospital, School of Medicine, Zhejiang University	GCA_000226275.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/226/275/GCF_000226275.2_ASM22627v2/	na	na	na	haploid	bacteria	4022275	4022275	39.000000	1	1	1	NCBI RefSeq	GCF_000226275.2-RS_2025_12_26	2025-12-26	3890	3726	96	21788470
GCF_000302575.1	PRJNA224116	SAMN02603667	na	na	1100841	470	Acinetobacter baumannii TYTH-1	strain=TYTH-1	na	latest	Complete Genome	Major	Full	2012-10-03	ASM30257v1	National Tsing Hua University	GCA_000302575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/302/575/GCF_000302575.1_ASM30257v1/	na	na	na	haploid	bacteria	3957368	3957368	39.000000	1	1	1	NCBI RefSeq	GCF_000302575.1-RS_2025_12_26	2025-12-26	3789	3611	91	23209228
GCF_000419385.1	PRJNA224116	SAMN02604244	na	na	1096995	470	Acinetobacter baumannii BJAB07104	strain=BJAB07104	na	latest	Complete Genome	Major	Full	2013-07-09	ASM41938v1	University of Texas at Dallas	GCA_000419385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/419/385/GCF_000419385.1_ASM41938v1/	na	na	na	haploid	bacteria	4042229	4042229	39.000000	3	3	3	NCBI RefSeq	GCF_000419385.1-RS_2025_04_20	2025-04-20	3906	3713	96	23826102
GCF_000419405.1	PRJNA224116	SAMN02604245	na	na	1096996	470	Acinetobacter baumannii BJAB0715	strain=BJAB0715	na	latest	Complete Genome	Major	Full	2013-07-09	ASM41940v1	University of Texas at Dallas	GCA_000419405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/419/405/GCF_000419405.1_ASM41940v1/	na	na	na	haploid	bacteria	4053889	4053889	39.000000	2	2	2	NCBI RefSeq	GCF_000419405.1-RS_2025_04_20	2025-04-20	3922	3732	97	23826102
