#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
../data/raw/genomes/GCF_000018445.1_ASM1844v1_genomic.fna.gz	NC_010605.1	13384	14226	+	(Bla)blaOXA-58	1-843/843	===============	0/0	100.00	100.00	argannot	AY665723:3301-4143	(Bla)blaOXA-58	
../data/raw/genomes/GCF_000018445.1_ASM1844v1_genomic.fna.gz	NC_010605.1	17398	18240	+	(Bla)blaOXA-58	1-843/843	===============	0/0	100.00	100.00	argannot	AY665723:3301-4143	(Bla)blaOXA-58	
../data/raw/genomes/GCF_000018445.1_ASM1844v1_genomic.fna.gz	NC_010611.1	180225	181013	+	(AGly)ant(3'')-IIa	1-789/789	===============	0/0	100.00	98.73	argannot	NG_054648:101-889	(AGly)ant(3'')-IIa	
../data/raw/genomes/GCF_000018445.1_ASM1844v1_genomic.fna.gz	NC_010611.1	251962	252762	+	(Bla)blaOXA-20	1-801/801	===============	0/0	100.00	99.88	argannot	AF024602:1238-2038	(Bla)blaOXA-20	
../data/raw/genomes/GCF_000018445.1_ASM1844v1_genomic.fna.gz	NC_010611.1	253343	254182	+	(Sul)sul1	1-840/840	===============	0/0	100.00	100.00	argannot	AF071413:6700-7539	(Sul)sul1	
../data/raw/genomes/GCF_000018445.1_ASM1844v1_genomic.fna.gz	NC_010611.1	1357295	1358560	-	(Bla)BlaA2	6-1274/1275	========/======	1/3	99.29	96.38	argannot	NC_010410:2507740-2509014	(Bla)BlaA2	
../data/raw/genomes/GCF_000018445.1_ASM1844v1_genomic.fna.gz	NC_010611.1	1672369	1673193	-	(Bla)blaOXA-66	1-825/825	===============	0/0	100.00	100.00	argannot	EF051061:485-1309	(Bla)blaOXA-66	
../data/raw/genomes/GCF_000018445.1_ASM1844v1_genomic.fna.gz	NC_010611.1	1857405	1858100	+	(Bla)Mbl	1-696/696	===============	0/0	100.00	98.56	argannot	NC_010410:c1997136-1996441	(Bla)Mbl	
../data/raw/genomes/GCF_000018445.1_ASM1844v1_genomic.fna.gz	NC_010611.1	2051864	2052881	+	(Bla)BlaA1	1-1018/1020	===============	0/0	99.80	91.94	argannot	NC_010410:1803480-1804499	(Bla)BlaA1	
../data/raw/genomes/GCF_000018445.1_ASM1844v1_genomic.fna.gz	NC_010611.1	2715780	2716939	+	(Bla)beta-lactamase_class-C	31-1191/1191	========/======	1/1	97.40	99.74	argannot	NC_010410:1184557-1185747	(Bla)beta-lactamase_class-C	
../data/raw/genomes/GCF_000018445.1_ASM1844v1_genomic.fna.gz	NC_010611.1	3072439	3073401	-	(Bla)Zn-dependent_hydrolase	1-963/963	===============	0/0	100.00	98.86	argannot	NC_010410:882015-882977	(Bla)Zn-dependent_hydrolase	
../data/raw/genomes/GCF_000021245.2_ASM2124v2_genomic.fna.gz	NC_011586.2	7866	9032	+	(Bla)blaADC-10	1-1167/1167	===============	0/0	100.00	99.23	argannot	NG_048634:1-1167	(Bla)blaADC-10	
../data/raw/genomes/GCF_000021245.2_ASM2124v2_genomic.fna.gz	NC_011586.2	190623	191411	+	(AGly)ant(3'')-IIa	1-789/789	===============	0/0	100.00	98.86	argannot	NG_054648:101-889	(AGly)ant(3'')-IIa	
../data/raw/genomes/GCF_000021245.2_ASM2124v2_genomic.fna.gz	NC_011586.2	283631	284470	+	(Sul)sul1	1-840/840	===============	0/0	100.00	100.00	argannot	AF071413:6700-7539	(Sul)sul1	
../data/raw/genomes/GCF_000021245.2_ASM2124v2_genomic.fna.gz	NC_011586.2	291273	291923	-	(Tet)tetR	1-651/651	===============	0/0	100.00	100.00	argannot	HF545434:53576-54226	(Tet)tetR	
../data/raw/genomes/GCF_000021245.2_ASM2124v2_genomic.fna.gz	NC_011586.2	291954	293228	+	(Tet)tetA	1-1275/1275	===============	0/0	100.00	100.00	argannot	JX424423:94438-95712	(Tet)tetA	
../data/raw/genomes/GCF_000021245.2_ASM2124v2_genomic.fna.gz	NC_011586.2	297074	297733	-	(Phe)catA1	1-660/660	===============	0/0	100.00	99.85	argannot	V00622:244-903	(Phe)catA1	
../data/raw/genomes/GCF_000021245.2_ASM2124v2_genomic.fna.gz	NC_011586.2	302629	303489	+	(Bla)blaTEM-1D	1-861/861	===============	0/0	100.00	100.00	argannot	AF188200:215-1075	(Bla)blaTEM-1D	
../data/raw/genomes/GCF_000021245.2_ASM2124v2_genomic.fna.gz	NC_011586.2	309263	310078	-	(AGly)aph(3'')-Ia	1-816/816	===============	0/0	100.00	100.00	argannot	FJ172370:38668-39483	(AGly)aph(3'')-Ia	
../data/raw/genomes/GCF_000021245.2_ASM2124v2_genomic.fna.gz	NC_011586.2	312619	313152	+	(AGly)aac3-I	1-534/534	===============	0/0	100.00	99.06	argannot	X15852:1250-1783	(AGly)aac3-I	
../data/raw/genomes/GCF_000021245.2_ASM2124v2_genomic.fna.gz	NC_011586.2	314186	314987	+	(AGly)aadA1-pm	30-831/831	===============	0/0	96.51	99.88	argannot	JQ690540:7968-8798	(AGly)aadA1-pm	
../data/raw/genomes/GCF_000021245.2_ASM2124v2_genomic.fna.gz	NC_011586.2	315492	316331	+	(Sul)sul1	1-840/840	===============	0/0	100.00	100.00	argannot	AF071413:6700-7539	(Sul)sul1	
../data/raw/genomes/GCF_000021245.2_ASM2124v2_genomic.fna.gz	NC_011586.2	585563	586384	+	(Bla)blaOXA-23	1-822/822	===============	0/0	100.00	100.00	argannot	EF120622:1499-2320	(Bla)blaOXA-23	
../data/raw/genomes/GCF_000021245.2_ASM2124v2_genomic.fna.gz	NC_011586.2	1515419	1516693	-	(Bla)BlaA2	1-1275/1275	===============	0/0	100.00	100.00	argannot	NC_010410:2507740-2509014	(Bla)BlaA2	
../data/raw/genomes/GCF_000021245.2_ASM2124v2_genomic.fna.gz	NC_011586.2	1844595	1845419	-	(Bla)blaOXA-69	1-825/825	===============	0/0	100.00	100.00	argannot	AY750911:1-825	(Bla)blaOXA-69	
../data/raw/genomes/GCF_000021245.2_ASM2124v2_genomic.fna.gz	NC_011586.2	2023596	2024291	+	(Bla)Mbl	1-696/696	===============	0/0	100.00	100.00	argannot	NC_010410:c1997136-1996441	(Bla)Mbl	
../data/raw/genomes/GCF_000021245.2_ASM2124v2_genomic.fna.gz	NC_011586.2	2242960	2243979	+	(Bla)BlaA1	1-1020/1020	===============	0/0	100.00	100.00	argannot	NC_010410:1803480-1804499	(Bla)BlaA1	
../data/raw/genomes/GCF_000021245.2_ASM2124v2_genomic.fna.gz	NC_011586.2	2480776	2481597	-	(Bla)blaOXA-23	1-822/822	===============	0/0	100.00	100.00	argannot	EF120622:1499-2320	(Bla)blaOXA-23	
../data/raw/genomes/GCF_000021245.2_ASM2124v2_genomic.fna.gz	NC_011586.2	2877540	2878700	+	(Bla)beta-lactamase_class-C	31-1191/1191	===============	0/0	97.48	100.00	argannot	NC_010410:1184557-1185747	(Bla)beta-lactamase_class-C	
